DataFormatada,Ta (max)(ºC),Ta (med)(ºC),Ta (min)(ºC)
2004/10/20,36.25,28.75,22.5
2004/10/21,34.37,27.56,22.16
2004/10/22,34.91,28.31,21.36
2004/10/23,35.71,28.12,21.42
2004/10/24,35.45,28.18,22.9
2004/10/25,35.51,28.47,22.16
2004/10/26,37.05,29.72,23.5
2004/10/27,36.05,28.53,23.56
2004/10/28,34.64,27.59,23.57
2004/10/29,34.64,28.39,22.97
2004/10/30,34.5,27.81,22.63
2004/10/31,34.91,28.14,22.9
2004/11/01,35.11,27.59,21.42
2004/11/02,34.64,27.63,22.16
2004/11/03,34.57,27.17,19.88
2004/11/04,34.84,27.82,21.02
2004/11/05,35.71,28.2,21.42
2004/11/06,35.78,29.4,23.5
2004/11/07,35.24,28.25,23.3
2004/11/08,35.71,29.21,24.1
2004/11/09,34.44,27.65,21.49
2004/11/10,34.37,26.85,19.27
2004/11/11,35.24,28.41,23.1
2004/11/12,37.19,29.45,22.3
2004/11/13,39.34,31.62,24.37
2004/11/14,38.2,31.66,25.98
2004/11/15,35.65,29.13,22.37
2004/11/16,36.12,28.66,21.63
2004/11/17,36.32,28.58,22.63
2004/11/18,38.06,29.28,20.95
2004/11/19,38.93,30.93,24.37
2004/11/20,37.19,30.55,24.84
2004/11/21,28.59,24.89,22.16
2004/11/22,31.88,25.96,22.36
2004/11/23,30.27,24.93,23.09
2004/11/24,33.83,27.25,22.43
2004/11/25,31.55,26.79,22.77
2004/11/26,null,null,null
2004/11/27,null,null,null
2004/11/28,null,null,null
2004/11/29,null,null,null
2004/11/30,null,null,null
2004/12/01,36.86,30.82,24.98
2004/12/02,36.25,31.69,27.19
2004/12/03,35.38,29.15,23.04
2004/12/04,35.18,28.66,22.97
2004/12/05,35.18,28.14,21.9
2004/12/06,35.38,27.84,21.69
2004/12/07,35.04,28.38,22.43
2004/12/08,36.25,29.16,22.1
2004/12/09,35.38,28.81,23.04
2004/12/10,36.99,29.67,23.1
2004/12/11,33.56,28.95,24.57
2004/12/12,35.38,28.06,23.5
2004/12/13,34.5,28.63,24.57
2004/12/14,35.24,28.89,22.23
2004/12/15,34.71,27.94,22.23
2004/12/16,34.57,28,22.03
2004/12/17,35.24,28.62,23.1
2004/12/18,36.39,29.48,23.64
2004/12/19,35.98,29.56,24.24
2004/12/20,35.98,29.51,24.04
2004/12/21,36.12,29.72,23.57
2004/12/22,36.39,29.57,22.3
2004/12/23,35.85,29.14,23.37
2004/12/24,36.39,29.32,23.17
2004/12/25,36.45,29.09,23.5
2004/12/26,35.11,28.5,23.1
2004/12/27,36.25,29.29,23.04
2004/12/28,36.05,29.32,23.5
2004/12/29,30.47,26.5,22.56
2004/12/30,30.41,26.75,23.44
2004/12/31,34.3,27.43,22.7
2005/01/01,36.05,29.71,23.7
2005/01/02,35.71,29.55,24.37
2005/01/03,35.85,29.1,23.83
2005/01/04,35.65,29.13,23.24
2005/01/05,36.25,29.16,22.77
2005/01/06,36.32,28.9,22.43
2005/01/07,36.92,29.64,22.5
2005/01/08,36.99,29.88,23.37
2005/01/09,36.86,29.73,23.44
2005/01/10,34.84,27.25,23.23
2005/01/11,36.86,28.86,22.03
2005/01/12,35.78,29.42,24.37
2005/01/13,31.88,26.26,22.37
2005/01/14,32.69,26.25,21.96
2005/01/15,33.43,26.44,22.16
2005/01/16,33.7,26.44,23.3
2005/01/17,33.36,26.87,22.15
2005/01/18,33.56,27.69,23.24
2005/01/19,35.31,28.54,22.63
2005/01/20,35.18,26.91,21.56
2005/01/21,35.04,28.09,22.77
2005/01/22,34.84,27.63,23.51
2005/01/23,34.64,26.99,22.97
2005/01/24,35.31,27.97,22.3
2005/01/25,34.24,27.49,23.51
2005/01/26,30.35,25.76,22.77
2005/01/27,34.38,27.52,21.69
2005/01/28,34.11,28.09,22.37
2005/01/29,32.5,26.79,23.44
2005/01/30,32.03,25.96,21.56
2005/01/31,34.58,27.3,21.69
2005/02/01,34.31,28.05,23.24
2005/02/02,33.31,27.92,23.44
2005/02/03,34.51,28.44,24.31
2005/02/04,34.72,28.63,23.24
2005/02/05,35.52,28.41,23.31
2005/02/06,35.26,28.24,22.23
2005/02/07,35.99,29.27,23.1
