produto;regiao;ano;semana;preco
Tommy - produtor;Vale do Sao Francisco;2019;15;1.4
Tommy - produtor;Vale do Sao Francisco;2019;16;1.27
Tommy - produtor;Vale do Sao Francisco;2019;17;1.14
Tommy - produtor;Vale do Sao Francisco;2019;18;0.88
Tommy - produtor;Vale do Sao Francisco;2019;19;0.81
Tommy - produtor;Vale do Sao Francisco;2019;20;1.02
Tommy - produtor;Vale do Sao Francisco;2019;21;1.02
Tommy - produtor;Vale do Sao Francisco;2019;22;1.3
Tommy - produtor;Vale do Sao Francisco;2019;23;1.92
Tommy - produtor;Vale do Sao Francisco;2019;24;1.98
Tommy - produtor;Vale do Sao Francisco;2019;25;1.95
Tommy - produtor;Vale do Sao Francisco;2019;26;2.09
Tommy - produtor;Vale do Sao Francisco;2019;27;2.47
Tommy - produtor;Vale do Sao Francisco;2019;28;2.54
Tommy - produtor;Vale do Sao Francisco;2019;29;1.97
Tommy - produtor;Vale do Sao Francisco;2019;30;1.5
Tommy - produtor;Vale do Sao Francisco;2019;31;1.53
Tommy - produtor;Vale do Sao Francisco;2019;32;1.64
Tommy - produtor;Vale do Sao Francisco;2019;33;1.31
Tommy - produtor;Vale do Sao Francisco;2019;34;1.09
Tommy - produtor;Vale do Sao Francisco;2019;35;1.16
Tommy - produtor;Vale do Sao Francisco;2019;36;1.38
Tommy - produtor;Vale do Sao Francisco;2019;37;1.13
Tommy - produtor;Vale do Sao Francisco;2019;38;0.97
Tommy - produtor;Vale do Sao Francisco;2019;39;1.07
Tommy - produtor;Vale do Sao Francisco;2019;40;1.01
Tommy - produtor;Vale do Sao Francisco;2019;41;1.09
Tommy - produtor;Vale do Sao Francisco;2019;42;1.06
Tommy - produtor;Vale do Sao Francisco;2019;43;1.02
Tommy - produtor;Vale do Sao Francisco;2019;44;0.87
Tommy - produtor;Vale do Sao Francisco;2019;45;0.85
Tommy - produtor;Vale do Sao Francisco;2019;46;0.84
Tommy - produtor;Vale do Sao Francisco;2019;47;0.83
Tommy - produtor;Vale do Sao Francisco;2019;48;0.79
Tommy - produtor;Vale do Sao Francisco;2019;49;0.79
Tommy - produtor;Vale do Sao Francisco;2019;50;0.79
Tommy - produtor;Vale do Sao Francisco;2019;51;0.83
Tommy - produtor;Vale do Sao Francisco;2019;52;0.87
Tommy - produtor;Vale do Sao Francisco;2020;1;0.89
Tommy - produtor;Vale do Sao Francisco;2020;2;0.91
Tommy - produtor;Vale do Sao Francisco;2020;3;0.99
Tommy - produtor;Vale do Sao Francisco;2020;4;0.94
Tommy - produtor;Vale do Sao Francisco;2020;5;0.97
Tommy - produtor;Vale do Sao Francisco;2020;6;1.14
Tommy - produtor;Vale do Sao Francisco;2020;7;1.37
Tommy - produtor;Vale do Sao Francisco;2020;8;1.67
Tommy - produtor;Vale do Sao Francisco;2020;9;1.77
Tommy - produtor;Vale do Sao Francisco;2020;10;1.64
Tommy - produtor;Vale do Sao Francisco;2020;11;1.22
